,date,isLianban,isLianbanST,isZTShiti,isZhangting,isZTT,isZhangtingOne,isEatDTBan,preZTcurDT,isEatZTBread,isLianbanBZ,isDTT,isDietingOne,isDieting,isZhaban,isEatTDBan,isFitBaopo,SysChooseNo1,SameSysChooseNo1,ZJNo1,ZJlt30No1,ALLHSNo1,index_num_ten,TBang
0,20200117,13,7,29,37,1,8,0,1,2,10,0,1,11,20,0,3,5-英维克-002837.SZ-实体-深圳-27.0,,3-模塑科技-000700.SZ-实体-江苏-25.0,3-模塑科技-000700.SZ-实体-江苏-25.0,3-模塑科技-000700.SZ-实体-江苏-25.0,5,0
0,20200120,12,6,58,67,8,9,0,0,0,13,0,0,9,30,0,2,4-模塑科技-000700.SZ-实体-江苏-33.0,,2-国轩高科-002074.SZ-实体-江苏-15.0,1-星期六-002291.SZ-实体-广东-13.0,3-立昂技术-300603.SZ-实体-新疆-22.0,10,0
0,20200121,28,22,50,60,8,10,0,2,1,12,0,3,21,19,0,1,5-模塑科技-000700.SZ-实体-江苏-40.0,,1-兴森科技-002436.SZ-实体-深圳-9.0,1-兴森科技-002436.SZ-实体-深圳-9.0,4-立昂技术-300603.SZ-实体-新疆-26.0,2,新文化&300336.SZ&0.02***
0,20200122,11,9,47,51,3,4,0,1,2,28,0,13,24,24,0,3,6-模塑科技-000700.SZ-实体-江苏-46.0,,1-宁德时代-300750.SZ-实体-福建-10.0,3-鲁抗医药-600789.SH-实体-山东-0.0,2-奥美医疗-002950.SZ-实体-湖北-0.0,10,鲁抗医药&600789.SH&-0.03***四环生物&000518.SZ&-0.05***
0,20200123,12,11,23,27,0,4,0,2,0,11,0,23,76,17,0,3,7-模塑科技-000700.SZ-实体-江苏-58.0,,2-通富微电-002156.SZ-实体-江苏-19.0,4-鲁抗医药-600789.SH-实体-山东-13.0,2-高澜股份-300499.SZ-实体-广东-23.0,5,0
0,20200203,15,13,57,79,21,22,2,8,3,12,0,2014,3031,18,0,2,6-联环药业-600513.SH-非实体-江苏-12.0,,2-科华生物-002022.SZ-实体-上海-7.0,1-鱼跃医疗-002223.SZ-实体-江苏-0.0,2-科华生物-002022.SZ-实体-上海-7.0,4,三五互联&300051.SZ&0.1***三鑫医疗&300453.SZ&0.06***
0,20200204,33,29,148,155,14,7,2,0,1,15,0,11,28,54,0,0,7-联环药业-600513.SH-实体-江苏-18.0,,2-欣龙控股-000955.SZ-实体-海南-5.0,1-赣锋锂业-002460.SZ-实体-江西-5.0,2-恒康医疗-002219.SZ-实体-甘肃-18.0,22,奥美医疗&002950.SZ&-0.0***阳普医疗&300030.SZ&0.01***海王生物&000078.SZ&0.01***振德医疗&603301.SH&0.02***南卫股份&603880.SH&-0.02***
0,20200205,69,62,146,173,10,27,0,0,0,33,0,0,0,114,0,0,8-联环药业-600513.SH-实体-江苏-23.0,,3-永太科技-002326.SZ-实体-浙江-20.0,2-星期六-002291.SZ-实体-广东-16.0,3-朗迪集团-603726.SH-实体-浙江-39.0,18,0
0,20200206,106,90,217,245,16,28,0,0,0,69,0,0,1,65,0,1,9-联环药业-600513.SH-实体-江苏-23.0,,3-模塑科技-000700.SZ-实体-江苏-14.0,2-均胜电子-600699.SH-实体-浙江-11.0,4-恒康医疗-002219.SZ-实体-甘肃-25.0,33,奥特佳&002239.SZ&0.1***金科文化&300459.SZ&0.08***
0,20200207,87,70,152,177,19,25,0,1,13,106,0,0,3,64,0,11,10-联环药业-600513.SH-实体-江苏-23.0,,3-中国卫通-601698.SH-实体-北京-16.0,2-光环新网-300383.SZ-实体-北京-16.0,5-欣龙控股-000955.SZ-实体-海南-11.0,19,永太科技&002326.SZ&0.02***全通教育&300359.SZ&-0.01***奥特佳&002239.SZ&0.1***二六三&002467.SZ&0.05***华力创通&300045.SZ&0.1***鸿合科技&002955.SZ&0.01***三圣股份&002742.SZ&0.05***
0,20200210,33,25,131,148,20,17,0,10,11,87,0,0,30,71,1,16,8-三五互联-300051.SZ-实体-福建-10.0,,1-赣锋锂业-002460.SZ-实体-江西-11.0,4-江苏吴中-600200.SH-实体-江苏-0.0,5-出版传媒-601999.SH-实体-辽宁-33.0,13,三五互联&300051.SZ&0.04***方直科技&300235.SZ&-0.0***会畅通讯&300578.SZ&-0.06***道恩股份&002838.SZ&0.0***奥特佳&002239.SZ&0.1***深康佳A&000016.SZ&-0.03***润邦股份&002483.SZ&-0.04***雅本化学&300261.SZ&-0.05***嘉麟杰&002486.SZ&-0.02***江苏吴中&600200.SH&-0.07***
0,20200211,16,10,47,56,3,9,0,14,2,33,0,5,36,27,0,6,7-道恩股份-002838.SZ-实体-山东-10.0,7-世纪天鸿-300654.SZ,1-歌尔股份-002241.SZ-实体-山东-10.0,1-歌尔股份-002241.SZ-实体-山东-10.0,6-秀强股份-300160.SZ-实体-江苏-25.0,5,0
0,20200212,15,10,104,113,3,9,1,0,0,16,0,0,0,27,0,0,8-世纪天鸿-300654.SZ-实体-山东-8.0,,2-上海新阳-300236.SZ-实体-上海-17.0,1-中环股份-002129.SZ-实体-天津-5.0,7-秀强股份-300160.SZ-实体-江苏-25.0,23,0
0,20200213,21,15,46,56,4,10,0,2,6,15,0,0,3,41,0,5,8-秀强股份-300160.SZ-非实体-江苏-25.0,,2-天齐锂业-002466.SZ-实体-四川-10.0,1-大立科技-002214.SZ-实体-浙江-7.0,3-安居宝-300155.SZ-实体-广东-24.0,8,0
0,20200214,17,10,55,66,5,11,0,0,1,21,0,0,2,37,0,5,9-秀强股份-300160.SZ-实体-江苏-33.0,,1-云南锗业-002428.SZ-实体-云南-9.0,1-云南锗业-002428.SZ-实体-云南-9.0,4-安居宝-300155.SZ-实体-广东-27.0,3,海达股份&300320.SZ&-0.03***
0,20200217,39,32,154,172,7,18,0,0,0,17,0,0,0,37,0,0,10-秀强股份-300160.SZ-实体-江苏-41.0,,2-大智慧-601519.SH-实体-上海-16.0,1-晶方科技-603005.SH-实体-江苏-10.0,4-电声股份-300805.SZ-实体-广东-29.0,13,基蛋生物&603387.SH&0.05***
