name,type,value,date
新加坡,Singapore,7,2020-01-28
新加坡,Singapore,10,2020-01-29
新加坡,Singapore,16,2020-01-30
新加坡,Singapore,16,2020-01-31
新加坡,Singapore,18,2020-02-01
新加坡,Singapore,18,2020-02-02
新加坡,Singapore,18,2020-02-03
新加坡,Singapore,24,2020-02-04
新加坡,Singapore,28,2020-02-05
新加坡,Singapore,30,2020-02-06
新加坡,Singapore,33,2020-02-07
新加坡,Singapore,40,2020-02-08
新加坡,Singapore,40,2020-02-09
新加坡,Singapore,45,2020-02-10
新加坡,Singapore,47,2020-02-11
新加坡,Singapore,50,2020-02-12
新加坡,Singapore,58,2020-02-13
新加坡,Singapore,67,2020-02-14
新加坡,Singapore,67,2020-02-15
新加坡,Singapore,72,2020-02-16
新加坡,Singapore,75,2020-02-17
新加坡,Singapore,81,2020-02-18
新加坡,Singapore,84,2020-02-19
新加坡,Singapore,84,2020-02-20
新加坡,Singapore,85,2020-02-21
新加坡,Singapore,89,2020-02-22
新加坡,Singapore,89,2020-02-23
新加坡,Singapore,90,2020-02-24
新加坡,Singapore,90,2020-02-25
新加坡,Singapore,93,2020-02-26
新加坡,Singapore,93,2020-02-27
新加坡,Singapore,96,2020-02-28
新加坡,Singapore,102,2020-02-29
新加坡,Singapore,106,2020-03-01
新加坡,Singapore,108,2020-03-02
新加坡,Singapore,110,2020-03-03
新加坡,Singapore,112,2020-03-04
新加坡,Singapore,117,2020-03-05
新加坡,Singapore,130,2020-03-06
新加坡,Singapore,138,2020-03-07
新加坡,Singapore,150,2020-03-08
新加坡,Singapore,160,2020-03-09
新加坡,Singapore,166,2020-03-10
新加坡,Singapore,178,2020-03-11
新加坡,Singapore,187,2020-03-12
新加坡,Singapore,200,2020-03-13
新加坡,Singapore,212,2020-03-14
新加坡,Singapore,226,2020-03-15
新加坡,Singapore,243,2020-03-16
新加坡,Singapore,266,2020-03-17
新加坡,Singapore,313,2020-03-18
新加坡,Singapore,345,2020-03-19
新加坡,Singapore,385,2020-03-20
新加坡,Singapore,432,2020-03-21
新加坡,Singapore,455,2020-03-22
新加坡,Singapore,509,2020-03-23
新加坡,Singapore,558,2020-03-24
新加坡,Singapore,631,2020-03-25
新加坡,Singapore,683,2020-03-26
新加坡,Singapore,732,2020-03-27
新加坡,Singapore,732,2020-03-28
伊朗,Iran,2,2020-02-19
伊朗,Iran,5,2020-02-20
伊朗,Iran,18,2020-02-21
伊朗,Iran,28,2020-02-22
伊朗,Iran,43,2020-02-23
伊朗,Iran,61,2020-02-24
伊朗,Iran,95,2020-02-25
伊朗,Iran,139,2020-02-26
伊朗,Iran,245,2020-02-27
伊朗,Iran,388,2020-02-28
伊朗,Iran,593,2020-02-29
伊朗,Iran,1501,2020-03-01
伊朗,Iran,1501,2020-03-02
伊朗,Iran,2336,2020-03-03
伊朗,Iran,2922,2020-03-04
伊朗,Iran,3513,2020-03-05
伊朗,Iran,4747,2020-03-06
伊朗,Iran,5823,2020-03-07
伊朗,Iran,6566,2020-03-08
伊朗,Iran,7161,2020-03-09
伊朗,Iran,8042,2020-03-10
伊朗,Iran,9000,2020-03-11
伊朗,Iran,10075,2020-03-12
伊朗,Iran,11364,2020-03-13
伊朗,Iran,12729,2020-03-14
伊朗,Iran,13938,2020-03-15
伊朗,Iran,14991,2020-03-16
伊朗,Iran,16169,2020-03-17
伊朗,Iran,17361,2020-03-18
伊朗,Iran,18407,2020-03-19
伊朗,Iran,19644,2020-03-20
伊朗,Iran,20610,2020-03-21
伊朗,Iran,21638,2020-03-22
伊朗,Iran,23049,2020-03-23
伊朗,Iran,24811,2020-03-24
伊朗,Iran,27017,2020-03-25
伊朗,Iran,29406,2020-03-26
伊朗,Iran,32332,2020-03-27
伊朗,Iran,32332,2020-03-28
美国,United States,5,2020-01-28
美国,United States,5,2020-01-29
美国,United States,6,2020-01-30
美国,United States,6,2020-01-31
美国,United States,7,2020-02-01
美国,United States,8,2020-02-02
美国,United States,11,2020-02-03
美国,United States,11,2020-02-04
美国,United States,11,2020-02-05
美国,United States,12,2020-02-06
美国,United States,12,2020-02-07
美国,United States,12,2020-02-08
美国,United States,12,2020-02-09
美国,United States,12,2020-02-10
美国,United States,13,2020-02-11
美国,United States,13,2020-02-12
美国,United States,14,2020-02-13
美国,United States,15,2020-02-14
美国,United States,15,2020-02-15
美国,United States,15,2020-02-16
美国,United States,15,2020-02-17
美国,United States,15,2020-02-18
美国,United States,15,2020-02-19
美国,United States,15,2020-02-20
美国,United States,15,2020-02-21
美国,United States,34,2020-02-22
美国,United States,34,2020-02-23
美国,United States,35,2020-02-24
美国,United States,53,2020-02-25
美国,United States,57,2020-02-26
美国,United States,60,2020-02-27
美国,United States,60,2020-02-28
美国,United States,64,2020-02-29
美国,United States,69,2020-03-01
美国,United States,89,2020-03-02
美国,United States,105,2020-03-03
美国,United States,126,2020-03-04
美国,United States,161,2020-03-05
美国,United States,234,2020-03-06
美国,United States,337,2020-03-07
美国,United States,455,2020-03-08
美国,United States,582,2020-03-09
美国,United States,755,2020-03-10
美国,United States,1052,2020-03-11
美国,United States,1329,2020-03-12
美国,United States,1880,2020-03-13
美国,United States,2236,2020-03-14
美国,United States,2943,2020-03-15
美国,United States,3774,2020-03-16
美国,United States,4687,2020-03-17
美国,United States,6522,2020-03-18
美国,United States,10259,2020-03-19
美国,United States,14365,2020-03-20
美国,United States,20176,2020-03-21
美国,United States,26856,2020-03-22
美国,United States,35224,2020-03-23
美国,United States,46443,2020-03-24
美国,United States,55242,2020-03-25
美国,United States,69223,2020-03-26
美国,United States,86043,2020-03-27
美国,United States,101724,2020-03-28
日本本土,Japan,7,2020-01-28
日本本土,Japan,8,2020-01-29
日本本土,Japan,13,2020-01-30
日本本土,Japan,17,2020-01-31
日本本土,Japan,20,2020-02-01
日本本土,Japan,20,2020-02-02
日本本土,Japan,20,2020-02-03
日本本土,Japan,22,2020-02-04
日本本土,Japan,24,2020-02-05
日本本土,Japan,25,2020-02-06
日本本土,Japan,25,2020-02-07
日本本土,Japan,25,2020-02-08
日本本土,Japan,25,2020-02-09
日本本土,Japan,26,2020-02-10
日本本土,Japan,26,2020-02-11
日本本土,Japan,29,2020-02-12
日本本土,Japan,34,2020-02-13
日本本土,Japan,35,2020-02-14
日本本土,Japan,49,2020-02-15
日本本土,Japan,56,2020-02-16
日本本土,Japan,65,2020-02-17
日本本土,Japan,74,2020-02-18
日本本土,Japan,84,2020-02-19
日本本土,Japan,93,2020-02-20
日本本土,Japan,103,2020-02-21
日本本土,Japan,122,2020-02-22
日本本土,Japan,136,2020-02-23
日本本土,Japan,159,2020-02-24
日本本土,Japan,162,2020-02-25
日本本土,Japan,178,2020-02-26
日本本土,Japan,207,2020-02-27
日本本土,Japan,233,2020-02-28
日本本土,Japan,241,2020-02-29
日本本土,Japan,256,2020-03-01
日本本土,Japan,274,2020-03-02
日本本土,Japan,293,2020-03-03
日本本土,Japan,326,2020-03-04
日本本土,Japan,331,2020-03-05
日本本土,Japan,416,2020-03-06
日本本土,Japan,441,2020-03-07
日本本土,Japan,494,2020-03-08
日本本土,Japan,514,2020-03-09
日本本土,Japan,581,2020-03-10
日本本土,Japan,628,2020-03-11
日本本土,Japan,690,2020-03-12
日本本土,Japan,725,2020-03-13
日本本土,Japan,786,2020-03-14
日本本土,Japan,818,2020-03-15
日本本土,Japan,835,2020-03-16
日本本土,Japan,880,2020-03-17
日本本土,Japan,919,2020-03-18
日本本土,Japan,956,2020-03-19
日本本土,Japan,1016,2020-03-20
日本本土,Japan,1054,2020-03-21
日本本土,Japan,1101,2020-03-22
日本本土,Japan,1140,2020-03-23
日本本土,Japan,1209,2020-03-24
日本本土,Japan,1307,2020-03-25
日本本土,Japan,1399,2020-03-26
日本本土,Japan,1516,2020-03-27
日本本土,Japan,1516,2020-03-28
意大利,Italy,0,2020-01-28
意大利,Italy,0,2020-01-29
意大利,Italy,0,2020-01-30
意大利,Italy,2,2020-01-31
意大利,Italy,2,2020-02-01
意大利,Italy,2,2020-02-02
意大利,Italy,2,2020-02-03
意大利,Italy,2,2020-02-04
意大利,Italy,2,2020-02-05
意大利,Italy,2,2020-02-06
意大利,Italy,3,2020-02-07
意大利,Italy,3,2020-02-08
意大利,Italy,3,2020-02-09
意大利,Italy,3,2020-02-10
意大利,Italy,3,2020-02-11
意大利,Italy,3,2020-02-12
意大利,Italy,3,2020-02-13
意大利,Italy,3,2020-02-14
意大利,Italy,3,2020-02-15
意大利,Italy,3,2020-02-16
意大利,Italy,3,2020-02-17
意大利,Italy,3,2020-02-18
意大利,Italy,3,2020-02-19
意大利,Italy,3,2020-02-20
意大利,Italy,6,2020-02-21
意大利,Italy,20,2020-02-22
意大利,Italy,132,2020-02-23
意大利,Italy,230,2020-02-24
意大利,Italy,283,2020-02-25
意大利,Italy,374,2020-02-26
意大利,Italy,528,2020-02-27
意大利,Italy,655,2020-02-28
意大利,Italy,888,2020-02-29
意大利,Italy,1128,2020-03-01
意大利,Italy,1713,2020-03-02
意大利,Italy,2086,2020-03-03
意大利,Italy,2546,2020-03-04
意大利,Italy,3089,2020-03-05
意大利,Italy,3927,2020-03-06
意大利,Italy,4680,2020-03-07
意大利,Italy,6012,2020-03-08
意大利,Italy,7424,2020-03-09
意大利,Italy,9220,2020-03-10
意大利,Italy,10283,2020-03-11
意大利,Italy,12462,2020-03-12
意大利,Italy,15385,2020-03-13
意大利,Italy,17660,2020-03-14
意大利,Italy,21270,2020-03-15
意大利,Italy,24747,2020-03-16
意大利,Italy,27980,2020-03-17
意大利,Italy,31506,2020-03-18
意大利,Italy,36455,2020-03-19
意大利,Italy,41035,2020-03-20
意大利,Italy,47021,2020-03-21
意大利,Italy,53578,2020-03-22
意大利,Italy,59138,2020-03-23
意大利,Italy,63927,2020-03-24
意大利,Italy,69176,2020-03-25
意大利,Italy,74386,2020-03-26
意大利,Italy,80539,2020-03-27
意大利,Italy,86498,2020-03-28
英国,United Kingdom,2,2020-01-28
英国,United Kingdom,2,2020-01-29
英国,United Kingdom,2,2020-01-30
英国,United Kingdom,2,2020-01-31
英国,United Kingdom,2,2020-02-01
英国,United Kingdom,2,2020-02-02
英国,United Kingdom,2,2020-02-03
英国,United Kingdom,2,2020-02-04
英国,United Kingdom,2,2020-02-05
英国,United Kingdom,3,2020-02-06
英国,United Kingdom,3,2020-02-07
英国,United Kingdom,3,2020-02-08
英国,United Kingdom,3,2020-02-09
英国,United Kingdom,8,2020-02-10
英国,United Kingdom,8,2020-02-11
英国,United Kingdom,8,2020-02-12
英国,United Kingdom,9,2020-02-13
英国,United Kingdom,9,2020-02-14
英国,United Kingdom,9,2020-02-15
英国,United Kingdom,9,2020-02-16
英国,United Kingdom,9,2020-02-17
英国,United Kingdom,9,2020-02-18
英国,United Kingdom,9,2020-02-19
英国,United Kingdom,9,2020-02-20
英国,United Kingdom,9,2020-02-21
英国,United Kingdom,9,2020-02-22
英国,United Kingdom,9,2020-02-23
英国,United Kingdom,13,2020-02-24
英国,United Kingdom,13,2020-02-25
英国,United Kingdom,13,2020-02-26
英国,United Kingdom,15,2020-02-27
英国,United Kingdom,19,2020-02-28
英国,United Kingdom,23,2020-02-29
英国,United Kingdom,35,2020-03-01
英国,United Kingdom,40,2020-03-02
英国,United Kingdom,51,2020-03-03
英国,United Kingdom,85,2020-03-04
英国,United Kingdom,90,2020-03-05
英国,United Kingdom,163,2020-03-06
英国,United Kingdom,206,2020-03-07
英国,United Kingdom,273,2020-03-08
英国,United Kingdom,319,2020-03-09
英国,United Kingdom,373,2020-03-10
英国,United Kingdom,456,2020-03-11
英国,United Kingdom,590,2020-03-12
英国,United Kingdom,798,2020-03-13
英国,United Kingdom,1140,2020-03-14
英国,United Kingdom,1140,2020-03-15
英国,United Kingdom,1543,2020-03-16
英国,United Kingdom,1950,2020-03-17
英国,United Kingdom,2626,2020-03-18
英国,United Kingdom,2626,2020-03-19
英国,United Kingdom,3269,2020-03-20
英国,United Kingdom,3983,2020-03-21
英国,United Kingdom,5027,2020-03-22
英国,United Kingdom,5683,2020-03-23
英国,United Kingdom,6650,2020-03-24
英国,United Kingdom,8077,2020-03-25
英国,United Kingdom,9529,2020-03-26
英国,United Kingdom,14579,2020-03-27
英国,United Kingdom,14579,2020-03-28
法国,France,3,2020-01-28
法国,France,4,2020-01-29
法国,France,6,2020-01-30
法国,France,6,2020-01-31
法国,France,6,2020-02-01
法国,France,6,2020-02-02
法国,France,6,2020-02-03
法国,France,6,2020-02-04
法国,France,6,2020-02-05
法国,France,6,2020-02-06
法国,France,6,2020-02-07
法国,France,11,2020-02-08
法国,France,11,2020-02-09
法国,France,11,2020-02-10
法国,France,11,2020-02-11
法国,France,11,2020-02-12
法国,France,11,2020-02-13
法国,France,11,2020-02-14
法国,France,11,2020-02-15
法国,France,12,2020-02-16
法国,France,12,2020-02-17
法国,France,12,2020-02-18
法国,France,12,2020-02-19
法国,France,12,2020-02-20
法国,France,12,2020-02-21
法国,France,12,2020-02-22
法国,France,12,2020-02-23
法国,France,12,2020-02-24
法国,France,12,2020-02-25
法国,France,17,2020-02-26
法国,France,18,2020-02-27
法国,France,41,2020-02-28
法国,France,73,2020-02-29
法国,France,100,2020-03-01
法国,France,130,2020-03-02
法国,France,204,2020-03-03
法国,France,257,2020-03-04
法国,France,377,2020-03-05
法国,France,577,2020-03-06
法国,France,716,2020-03-07
法国,France,949,2020-03-08
法国,France,1209,2020-03-09
法国,France,1606,2020-03-10
法国,France,1888,2020-03-11
法国,France,2370,2020-03-12
法国,France,2889,2020-03-13
法国,France,3667,2020-03-14
法国,France,4500,2020-03-15
法国,France,5400,2020-03-16
法国,France,6633,2020-03-17
法国,France,7730,2020-03-18
法国,France,9134,2020-03-19
法国,France,10995,2020-03-20
法国,France,12612,2020-03-21
法国,France,14459,2020-03-22
法国,France,16680,2020-03-23
法国,France,19856,2020-03-24
法国,France,22300,2020-03-25
法国,France,25233,2020-03-26
法国,France,29155,2020-03-27
法国,France,32964,2020-03-28
德国,Germany,1,2020-01-28
德国,Germany,4,2020-01-29
德国,Germany,4,2020-01-30
德国,Germany,6,2020-01-31
德国,Germany,7,2020-02-01
德国,Germany,10,2020-02-02
德国,Germany,10,2020-02-03
德国,Germany,12,2020-02-04
德国,Germany,12,2020-02-05
德国,Germany,12,2020-02-06
德国,Germany,13,2020-02-07
德国,Germany,13,2020-02-08
德国,Germany,14,2020-02-09
德国,Germany,14,2020-02-10
德国,Germany,14,2020-02-11
德国,Germany,16,2020-02-12
德国,Germany,16,2020-02-13
德国,Germany,16,2020-02-14
德国,Germany,16,2020-02-15
德国,Germany,16,2020-02-16
德国,Germany,16,2020-02-17
德国,Germany,16,2020-02-18
德国,Germany,16,2020-02-19
德国,Germany,16,2020-02-20
德国,Germany,16,2020-02-21
德国,Germany,16,2020-02-22
德国,Germany,16,2020-02-23
德国,Germany,16,2020-02-24
德国,Germany,16,2020-02-25
德国,Germany,19,2020-02-26
德国,Germany,27,2020-02-27
德国,Germany,60,2020-02-28
德国,Germany,66,2020-02-29
德国,Germany,117,2020-03-01
德国,Germany,157,2020-03-02
德国,Germany,196,2020-03-03
德国,Germany,240,2020-03-04
德国,Germany,349,2020-03-05
德国,Germany,565,2020-03-06
德国,Germany,684,2020-03-07
德国,Germany,847,2020-03-08
德国,Germany,1151,2020-03-09
德国,Germany,1224,2020-03-10
德国,Germany,1565,2020-03-11
德国,Germany,2078,2020-03-12
德国,Germany,3117,2020-03-13
德国,Germany,3675,2020-03-14
德国,Germany,5142,2020-03-15
德国,Germany,5813,2020-03-16
德国,Germany,7272,2020-03-17
德国,Germany,10082,2020-03-18
德国,Germany,13944,2020-03-19
德国,Germany,17653,2020-03-20
德国,Germany,20099,2020-03-21
德国,Germany,23921,2020-03-22
德国,Germany,27181,2020-03-23
德国,Germany,31370,2020-03-24
德国,Germany,35353,2020-03-25
德国,Germany,39572,2020-03-26
德国,Germany,43211,2020-03-27
德国,Germany,50871,2020-03-28
韩国,Korea,4,2020-01-28
韩国,Korea,4,2020-01-29
韩国,Korea,6,2020-01-30
韩国,Korea,11,2020-01-31
韩国,Korea,12,2020-02-01
韩国,Korea,15,2020-02-02
韩国,Korea,15,2020-02-03
韩国,Korea,16,2020-02-04
韩国,Korea,19,2020-02-05
韩国,Korea,23,2020-02-06
韩国,Korea,24,2020-02-07
韩国,Korea,24,2020-02-08
韩国,Korea,27,2020-02-09
韩国,Korea,27,2020-02-10
韩国,Korea,28,2020-02-11
韩国,Korea,28,2020-02-12
韩国,Korea,28,2020-02-13
韩国,Korea,28,2020-02-14
韩国,Korea,28,2020-02-15
韩国,Korea,29,2020-02-16
韩国,Korea,30,2020-02-17
韩国,Korea,31,2020-02-18
韩国,Korea,51,2020-02-19
韩国,Korea,104,2020-02-20
韩国,Korea,208,2020-02-21
韩国,Korea,433,2020-02-22
韩国,Korea,602,2020-02-23
韩国,Korea,833,2020-02-24
韩国,Korea,977,2020-02-25
